id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable
1	satsuma	薩摩	2	4	20	220	0	0	kyushu_jomon	satsuma	38400	1/1/2/4/4/2/4/1	160	1	255	0	0	1
2	osumi	大隅	2	4	20	220	0	0	kyushu_jomon	osumi	40600	1/2/2/2/4/2/2/2	160	1	255	0	0	1
3	hyuga	日向	2	4	20	220	0	0	kyushu_jomon	hyuga	30800	10/4/1/1/1/1/1/1	160	1	255	0	0	1
4	higo	肥後	2	4	20	2400	0	0	kyushu_jomon	higo	108700	10/4/1/1/1/1/1/4	160	1	255	0	0	1
5	bungo	豊後	3	4	20	340	0	0	kyushu_jomon	bungo	51600	10/4/1/1/1/1/1/2	160	0	255	0	0	1
6	chikugo	筑後	3	4	20	480	0	0	kyushu_jomon	chikugo	59300	10/10/1/2/2/1/1/2	160	0	255	0	0	1
7	hizen	肥前	3	4	20	1210	0	0	kyushu_jomon	hizen	48300	4/4/4/4/1/1/1/1	160	0	255	0	0	1
8	chikuzen	筑前	3	4	20	480	120	0	kyushu_jomon	chikuzen	112000	4/4/1/1/1/1/4/10	160	0	255	0	0	1
9	buzen	豊前	3	4	20	420	0	0	kyushu_jomon	buzen	47200	10/2/1/1/1/1/1/2	160	0	255	0	0	1
10	iki	壱岐	3	4	20	80	0	0	kyushu_jomon	iki	12100	4/4/1/1/2/1/1/1	160	0	255	0	0	1
11	tsushima	対馬	3	4	20	80	0	0	kyushu_jomon	tsushima	9900	1/1/1/4/4/1/1/1	160	0	255	0	0	1
12	nagato	長門	5	4	20	50	0	0	chugoku_jomon	nagato	43900	2/2/1/1/1/2/10/10	160	0	255	0	0	1
13	suo	周防	5	4	20	50	0	0	chugoku_jomon	suo	49400	1/1/2/1/1/2/10/10	160	0	255	0	0	1
14	aki	安芸	5	4	20	190	0	0	chugoku_jomon	aki	69200	1/1/1/2/1/4/10/10	160	0	255	0	0	1
15	bingo	備後	5	4	20	190	0	0	chugoku_jomon	bingo	71400	1/1/1/1/1/2/10/4	160	0	255	0	0	1
16	bitchu	備中	5	4	20	200	0	0	chugoku_jomon	bitchu	79100	1/1/1/1/1/2/10/4	160	0	255	0	0	1
17	mimasaka	美作	5	4	20	200	0	0	chugoku_jomon	mimasaka	70300	2/2/1/2/2/2/1/2	160	0	255	0	0	1
18	bizen	備前	5	4	20	180	0	0	chugoku_jomon	bizen	56000	2/1/1/1/4/4/10/4	160	0	255	0	0	1
19	harima	播磨	7	4	20	70	0	0	kinki_jomon	harima	107600	1/1/2/2/2/10/10/4	160	0	255	0	0	1
20	iwami	石見	6	4	20	410	0	0	chugoku_jomon	iwami	40600	2/2/1/2/1/1/10/10	160	0	255	0	0	1
21	izumo	出雲	6	4	20	410	0	0	chugoku_jomon	izumo	85700	4/2/2/2/1/1/10/10	160	0	255	0	0	1
22	hoki	伯耆	6	4	20	50	0	0	chugoku_jomon	hoki	52700	2/2/2/1/1/2/10/10	160	0	255	0	0	1
