age	hunter_gatherer	agricultural
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0.009022766008	0.003007588669
15	0.03746975846	0.01248991949
16	0.06757353696	0.02252451232
17	0.09958830351	0.03319610117
18	0.1337557159	0.04458523864
19	0.1703668704	0.05678895681
20	0.2098868832	0.0699622944
21	0.2526807842	0.08422692807
22	0.2995459554	0.09984865178
23	0.3511586331	0.1170528777
24	0.4089346823	0.1363115608
25	0.4743033249	0.1581011083
26	0.5500259893	0.1833419964
27	0.6405890518	0.2135296839
28	0.7534403528	0.2511467843
29	0.9056625696	0.3018875232
30	1.151236496	0.3837454986
31	1.312976024	0.4376586748
32	1.087701736	0.3625672452
33	0.8668848806	0.2889616269
34	0.7222288212	0.2407429404
35	0.6129487486	0.2043162495
36	0.5239938899	0.17466463
37	0.4484244189	0.1494748063
38	0.3825212912	0.1275070971
39	0.3241175852	0.1080391951
40	0.2715395289	0.09051317629
41	0.2237504232	0.07458347441
42	0.1799112904	0.05997043012
43	0.139559001	0.046519667
44	0.1021741604	0.03405805348
45	0.06747719441	0.02249239814
46	0.03521142259	0.01173714086
47	0.005148315889	0.001716105296
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
