id	name	ja-JP	region	language	hunter_gatherer	farming	snp	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	language_region	pop_ad725	directions	direction_min_distance
1	satsuma	薩摩	2	0	0	0	0	4	20	2270	0	0	kyushu_jomon	test_lang	38400	1/1/1/1/1/1/1/1	10000
2	osumi	大隅	2	0	0	0	0	4	20	2400	0	0	kyushu_jomon	test_lang	40600	1/1/1/1/1/1/1/1	10000
3	hyuga	日向	2	0	0	0	0	4	20	1820	0	0	kyushu_jomon	test_lang	30800	1/1/1/1/1/1/1/1	10000
4	higo	肥後	2	0	0	0	0	4	20	6426	0	0	kyushu_jomon	test_lang	108700	1/1/1/1/1/1/1/1	10000
5	bungo	豊後	3	0	0	0	0	4	20	1226	0	0	kyushu_jomon	test_lang	51600	1/1/1/1/1/1/1/1	10000
6	chikugo	筑後	3	0	0	0	0	4	20	1410	0	0	kyushu_jomon	test_lang	59300	1/1/1/1/1/1/1/1	10000
7	hizen	肥前	3	0	0	0	0	4	20	1148	0	0	kyushu_jomon	test_lang	48300	1/1/1/1/1/1/1/1	10000
8	chikuzen	筑前	3	0	0	0	0	4	20	2664	1	0.0003	kyushu_jomon	test_lang	112000	5/1/1/1/1/1/1/5	100
9	buzen	豊前	3	0	0	0	0	4	20	1122	0	0	kyushu_jomon	test_lang	47200	1/1/1/1/1/1/1/1	10000
10	iki	壱岐	3	0	0	0	0	4	20	288	0	0	kyushu_jomon	test_lang	12100	1/1/1/1/1/1/1/1	10000
11	tsushima	対馬	3	0	0	0	0	4	20	234	0	0	kyushu_jomon	test_lang	test_lang	9900	1/1/1/1/1/1/1/1
12	nagato	長門	5	0	0	0	0	4	20	976	0	0	chugoku_jomon	test_lang	test_lang	43900	1/1/1/1/1/1/1/1
13	suo	周防	5	0	0	0	0	4	20	1098	0	0	chugoku_jomon	test_lang	test_lang	49400	1/1/1/1/1/1/1/1
14	aki	安芸	5	0	0	0	0	4	20	1540	0	0	chugoku_jomon	test_lang	test_lang	69200	1/1/1/1/1/1/1/1
15	bingo	備後	5	0	0	0	0	4	20	1588	0	0	chugoku_jomon	test_lang	test_lang	71400	1/1/1/1/1/1/1/1
16	bitchu	備中	5	0	0	0	0	4	20	1760	0	0	chugoku_jomon	test_lang	test_lang	79100	1/1/1/1/1/1/1/1
17	mimasaka	美作	5	0	0	0	0	4	20	1564	0	0	chugoku_jomon	test_lang	test_lang	70300	1/1/1/1/1/1/1/1
18	bizen	備前	5	0	0	0	0	4	20	1246	0	0	chugoku_jomon	test_lang	test_lang	56000	1/1/1/1/1/1/1/1
19	harima	播磨	7	0	0	0	0	4	20	2358	0	0	kinki_jomon	test_lang	test_lang	107600	1/1/1/1/1/1/1/1
20	iwami	石見	6	0	0	0	0	4	20	410	0	0	chugoku_jomon	test_lang	test_lang	40600	1/1/1/1/1/1/1/1
21	izumo	出雲	6	0	0	0	0	4	20	866	0	0	chugoku_jomon	test_lang	test_lang	85700	1/1/1/1/1/1/1/1
22	hoki	伯耆	6	0	0	0	0	4	20	532	0	0	chugoku_jomon	test_lang	test_lang	52700	1/1/1/1/1/1/1/1
23	oki	隠岐	6	0	0	0	0	4	20	132	0	0	chugoku_jomon	test_lang	test_lang	13200	1/1/1/1/1/1/1/1
24	inaba	因幡	6	0	0	0	0	4	20	554	0	0	chugoku_jomon	test_lang	test_lang	54900	1/1/1/1/1/1/1/1
25	tajima	但馬	6	0	0	0	0	4	20	654	0	0	chugoku_jomon	test_lang	test_lang	64800	1/1/1/1/1/1/1/1
26	tango	丹後	6	0	0	0	0	4	20	388	0	0	chugoku_jomon	test_lang	test_lang	38400	1/1/1/1/1/1/1/1
27	tanba	丹波	7	0	0	0	0	4	20	1636	0	0	kinki_jomon	test_lang	test_lang	74700	1/1/1/1/1/1/1/1
28	iyo	伊予	4	0	0	0	0	4	20	1726	0	0	shikoku_jomon	test_lang	test_lang	79100	1/1/1/1/1/1/1/1
29	tosa	土佐	4	0	0	0	0	4	20	1030	0	0	shikoku_jomon	test_lang	test_lang	47200	1/1/1/1/1/1/1/1
30	awa	阿波	4	0	0	0	0	4	20	1102	0	0	shikoku_jomon	test_lang	test_lang	50500	1/1/1/1/1/1/1/1
31	sanuki	讃岐	4	0	0	0	0	4	20	2158	0	0	shikoku_jomon	test_lang	test_lang	98800	1/1/1/1/1/1/1/1
32	awaji	淡路	7	0	0	0	0	4	20	408	0	0	kinki_jomon	test_lang	test_lang	18700	1/1/1/1/1/1/1/1
33	kii	紀伊	7	0	0	0	0	4	20	1346	0	0	kinki_jomon	test_lang	test_lang	61500	1/1/1/1/1/1/1/1
34	yamato	大和	8	0	0	0	0	4	20	2266	0	0	kinki_jomon	test_lang	test_lang	171700	1/1/1/1/1/1/1/1
35	kawachi	河内	8	0	0	0	0	4	20	1160	0	0	kinki_jomon	test_lang	test_lang	87900	1/1/1/1/1/1/1/1
36	yamashiro	山城	8	0	0	0	0	4	20	1130	0	0	kinki_jomon	test_lang	test_lang	85700	1/1/1/1/1/1/1/1
37	izumi	和泉	8	0	0	0	0	4	20	348	0	0	kinki_jomon	test_lang	test_lang	26400	1/1/1/1/1/1/1/1
38	settsu	摂津	8	0	0	0	0	4	20	1130	0	0	kinki_jomon	test_lang	test_lang	85700	1/1/1/1/1/1/1/1
39	wakasa	若狭	11	0	0	0	0	4	20	378	0	0	chubu_jomon	test_lang	test_lang	23100	1/1/1/1/1/1/1/1
40	echizen	越前	11	0	0	0	0	4	20	990	0	0	chubu_jomon	test_lang	test_lang	60400	1/1/1/1/1/1/1/1
41	kaga	加賀	11	0	0	0	0	4	20	538	0	0	chubu_jomon	test_lang	test_lang	32900	1/1/1/1/1/1/1/1
42	etchu	越中	11	0	0	0	0	4	20	754	0	0	chubu_jomon	test_lang	test_lang	46100	1/1/1/1/1/1/1/1
43	noto	能登	11	0	0	0	0	4	20	468	0	0	chubu_jomon	test_lang	test_lang	28600	1/1/1/1/1/1/1/1
44	echigo	越後	11	0	0	0	0	4	20	610	0	0	chubu_jomon	test_lang	test_lang	37300	1/1/1/1/1/1/1/1
45	sado	佐渡	11	0	0	0	0	4	20	396	0	0	chubu_jomon	test_lang	test_lang	24200	1/1/1/1/1/1/1/1
46	shima	志摩	7	0	0	0	0	4	20	3374	0	0	kinki_jomon	test_lang	test_lang	154000	1/1/1/1/1/1/1/1
47	ise	伊勢	7	0	0	0	0	4	20	2260	0	0	kinki_jomon	test_lang	test_lang	103200	1/1/1/1/1/1/1/1
48	iga	伊賀	7	0	0	0	0	4	20	432	0	0	kinki_jomon	test_lang	test_lang	19800	1/1/1/1/1/1/1/1
49	owari	尾張	9	0	0	0	0	4	20	1686	0	0	chubu_jomon	test_lang	test_lang	75800	1/1/1/1/1/1/1/1
