age	jomon_male_ndx	jomon_female_ndx	yayoi_male_ndx	yayoi_female_ndx
0	25	25	25	25
1	2.611221016	2.595138407	2.562626297	2.573569918
2	1.916840495	1.911217517	1.911296549	1.911594501
3	1.429957941	1.429467148	1.444518419	1.439868977
4	1.091254377	1.093225048	1.111808619	1.105959702
5	0.859613634	0.860974659	0.876153431	0.871404263
6	0.70247031	0.70260152	0.710479811	0.708126115
7	0.596473687	0.594925763	0.59388538	0.594451175
8	0.521520287	0.51802422	0.508964468	0.512127915
9	0.461999656	0.457745875	0.443509216	0.448321755
10	0.406944647	0.40229115	0.387872432	0.392717547
11	0.349689106	0.346462144	0.337245733	0.34039488
12	0.29315469	0.292463366	0.29174721	0.292115062
13	0.243330028	0.244807713	0.253284728	0.250589619
14	0.207000959	0.210537562	0.226295435	0.221117247
15	0.189393692	0.193738407	0.21406645	0.207312683
16	0.194715068	0.199386372	0.220970947	0.213842664
17	0.233655132	0.237447023	0.254421017	0.249035538
18	0.328725586	0.32775151	0.325501925	0.326706859
19	0.529309381	0.513735929	0.453670059	0.473139865
20	0.912588922	0.851213116	0.651641238	0.711666095
21	1.526067058	1.372770128	0.907553535	1.038648208
22	2.274498748	1.985430419	1.160564851	1.380979053
23	2.829075992	2.420912398	1.310788588	1.597675481
24	2.929854927	2.506045959	1.32227462	1.624436129
25	2.654947571	2.278638876	1.22661601	1.496700912
26	2.253108189	1.957521054	1.104457017	1.326677768
27	1.936401309	1.707487375	1.017117165	1.199579606
28	1.763336593	1.568456266	0.979101767	1.136283797
29	1.729067455	1.547068373	0.992307925	1.140435365
30	1.812001424	1.615637749	1.035884328	1.189786321
31	1.973961826	1.743812562	1.082398708	1.255990796
32	2.173996738	1.893826853	1.108126699	1.311047057
33	2.357098068	2.019064283	1.09581819	1.329629103
34	2.471682139	2.089221803	1.057956512	1.314648568
35	2.484685203	2.087677968	1.017235597	1.281944427
36	2.390402262	2.02230846	1.000357326	1.256178974
37	2.211106822	1.912222883	1.032064461	1.260428149
38	1.981876231	1.777518549	1.122681579	1.301611675
39	1.739071039	1.635364321	1.279977162	1.380413878
40	1.510011276	1.497546902	1.489983425	1.481212172
41	1.311639511	1.371466159	1.713057542	1.577367549
42	1.149338602	1.260004625	1.895123239	1.642663875
43	1.021887029	1.163758742	1.978675672	1.654924383
44	0.925051372	1.081256275	1.953991837	1.615163888
45	0.853505276	1.010603424	1.849197251	1.538674756
46	0.803020555	0.950964064	1.713762059	1.449052199
47	0.770343446	0.902233992	1.593564347	1.36878841
48	0.753773913	0.866998753	1.51173657	1.311688452
49	0.752922095	0.848949841	1.480071319	1.286678603
50	0.76778202	0.852545215	1.500895693	1.297914219
51	0.798395037	0.882904494	1.57355356	1.347924555
52	0.842188914	0.939511239	1.689976394	1.432319803
53	0.891975358	1.016595827	1.832651105	1.539531354
54	0.934629284	1.093771147	1.964734792	1.641811603
55	0.95039373	1.136988991	2.032391793	1.697232383
56	0.921020776	1.114266142	1.986895072	1.66735676
57	0.837928508	1.011270795	1.808204497	1.533944686
58	0.710442665	0.851505734	1.52981162	1.32101574
59	0.562525139	0.675330202	1.213830786	1.075273712
60	0.419569772	0.516275237	0.918171454	0.841313268
61	0.299057851	0.390715711	0.675158943	0.645738916
62	0.206609313	0.299318099	0.492903169	0.495935097
63	0.140113317	0.236640632	0.365271109	0.388639031
64	0.094237282	0.196118217	0.280981536	0.316512479
65	0.063346449	0.172546401	0.22964912	0.272639693
66	0.042755682	0.16199841	0.202355119	0.250836372
67	0.029023113	0.161905927	0.193346022	0.246928298
68	0.019819914	0.169711524	0.198109684	0.256817823
69	0.044437578	0.18156295	0.211596767	0.274612021
70	0.000156932	0.1918985	0.227017749	0.291769474
71	8.2759E-08	0.193327676	0.234189905	0.296275621
72	0	0.182112703	0.226202406	0.28129868
73	0	0.160335408	0.203297492	0.249134122
74	0	0.134028824	0.172207354	0.208939098
75	0	0.109770822	0.141889065	0.171315075
76	0	0.090506689	0.116970065	0.14120929
77	0	0.076779593	0.098781668	0.119691048
78	0	0.067660604	0.086400747	0.10538151
79	0	0.061594111	0.07792028	0.095852677
80	0	0.057290593	0.071731272	0.089081026
81	0	0.053511634	0.066303235	0.083117671
82	0	0.049542614	0.060781553	0.076844599
83	0	0.04518434	0.054943288	0.069959844
84	0	0.040558338	0.048937186	0.062666038
85	0	0.036053962	0.043206086	0.055581146
86	0	0.031947399	0.03804775	0.049137977
87	0	0.028392311	0.033612776	0.043571735
88	0	0.025400739	0.029891926	0.038894744
89	0	0.022866073	0.026746759	0.034935133
90	0	0.020676593	0.024038836	0.031515504
91	0	0.01871544	0.021629399	0.028453017
92	0	0.016909471	0.019431555	0.025634558
93	0	0.015230749	0.017410011	0.023018174
94	0	0.013671927	0.015552424	0.02059362
95	0	0.012245261	0.013867661	0.018380249
96	0	0.010957182	0.012358203	0.016387525
97	0	0.009806896	0.011018865	0.01461309
98	0	0.008786318	0.009837105	0.013043178
99	0	0.00787966	0.008792702	0.011652288
100	0	0.066951174	0.074091778	0.094382543
