age	jomon_male_ndx	jomon_female_ndx	yayoi_male_ndx	yayoi_female_ndx
0	30	30	25	25
1	2.437705134	2.422221692	2.562626297	2.573569918
2	1.78945613	1.783878323	1.911296549	1.911594501
3	1.334924021	1.334230387	1.444518419	1.439868977
4	1.018727091	1.020392441	1.111808619	1.105959702
5	0.8024792723	0.8036153195	0.8761534313	0.8714042629
6	0.6557783749	0.6557918614	0.7104798111	0.7081261152
7	0.556825112	0.5552872352	0.5938853804	0.5944511753
8	0.4868520494	0.4835063733	0.5089644676	0.5121279152
9	0.4312863863	0.4272416818	0.4435092162	0.4483217554
10	0.3798901227	0.3754805115	0.3878724321	0.3927175473
11	0.3264403713	0.3233716466	0.3372457328	0.3403948799
12	0.2736644382	0.2729723869	0.2917472101	0.2921150615
13	0.2271525668	0.2284942856	0.2532847284	0.2505896189
14	0.1932391918	0.1965097336	0.2262954345	0.2211172468
15	0.1768029321	0.1808317903	0.2140664496	0.2073126832
16	0.1817709481	0.1861051352	0.2209709473	0.2138426636
17	0.2181226313	0.221631598	0.2544210166	0.2490355383
18	0.3068730104	0.305921021	0.3255019253	0.3267068586
19	0.4941213814	0.4795143816	0.4536700589	0.4731398647
20	0.8519166147	0.7945028943	0.6516412381	0.7116660948
21	1.424597695	1.281297953	0.9075535354	1.038648208
22	2.123243782	1.853118085	1.160564851	1.380979053
23	2.640908518	2.259568974	1.310788588	1.597675481
24	2.734948092	2.339028266	1.32227462	1.624436129
25	2.478298002	2.12678264	1.22661601	1.496700912
26	2.103173353	1.827071636	1.104457017	1.326677768
27	1.807526449	1.593703948	1.017117165	1.199579606
28	1.645967406	1.463937761	0.9791017674	1.136283797
29	1.613966771	1.443971372	0.9923079248	1.140435365
30	1.691364255	1.507964485	1.035884328	1.189786321
31	1.842519231	1.627588623	1.082398708	1.255990796
32	2.029201896	1.767595875	1.108126699	1.311047057
33	2.200065547	1.884478782	1.09581819	1.329629103
34	2.306966127	1.94995506	1.057956512	1.314648568
35	2.319052333	1.948511324	1.017235597	1.281944427
36	2.231009411	1.887497335	1.000357326	1.256178974
37	2.063633009	1.784747726	1.032064461	1.260428149
38	1.849662209	1.659019816	1.122681579	1.301611675
39	1.623028808	1.526338079	1.279977162	1.380413878
40	1.409226715	1.397704032	1.489983425	1.481212172
41	1.22406508	1.28002472	1.713057542	1.577367549
42	1.072568002	1.175990741	1.895123239	1.642663875
43	0.9535975643	1.086158829	1.978675672	1.654924383
44	0.8632055586	1.009154763	1.953991837	1.615163888
45	0.7964245671	0.9432108184	1.849197251	1.538674756
46	0.7493097385	0.8875464184	1.713762059	1.449052199
47	0.7188243006	0.8420641229	1.593564347	1.36878841
48	0.7033785298	0.8091769246	1.51173657	1.311688452
49	0.7026022343	0.7923300147	1.480071319	1.286678603
50	0.7164819054	0.7956838959	1.500895693	1.297914219
51	0.745044982	0.8240165344	1.57355356	1.347924555
52	0.7858809212	0.8768455209	1.689976394	1.432319803
53	0.8322745941	0.9487854288	1.832651105	1.539531354
54	0.8719803449	1.020808086	1.964734792	1.641811603
55	0.8865825701	1.061135757	2.032391793	1.697232383
56	0.8590874874	1.039919578	1.986895072	1.66735676
57	0.7815215295	0.9437864622	1.808204497	1.533944686
58	0.6625972085	0.7946746222	1.52981162	1.32101574
59	0.5246529853	0.6302521943	1.213830786	1.075273712
60	0.391348654	0.4818119925	0.9181714538	0.8413132679
61	0.2789685822	0.364634353	0.6751589433	0.6457389164
62	0.192746591	0.2793393536	0.4929031685	0.4959350972
63	0.1307164145	0.2208472842	0.3652711087	0.3886390312
64	0.08791199733	0.1830307243	0.2809815355	0.316512479
65	0.05908399299	0.1610323246	0.2296491199	0.2726396928
66	0.03986604981	0.1511873305	0.2023551189	0.2508363715
67	0.02704904731	0.1510986245	0.1933460222	0.2469282977
68	0.01846049783	0.1583793721	0.1981096835	0.2568178225
69	0.04123422395	0.1694348728	0.2115967666	0.2746120208
70	0.000146375061	0.1790759806	0.2270177487	0.2917694744
71	0.00000007768994035	0.180407873	0.2341899049	0.2962756208
72	0	0.169943384	0.2262024064	0.2812986802
73	0	0.149624169	0.2032974922	0.2491341221
74	0	0.1250781704	0.1722073536	0.208939098
75	0	0.1024422622	0.141889065	0.1713150745
76	0	0.08446490388	0.1169700646	0.1412092897
77	0	0.07165345798	0.09878166763	0.1196910476
78	0	0.06314158791	0.08640074727	0.1053815099
79	0	0.05747815788	0.07792028011	0.0958526768
80	0	0.05346021646	0.07173127173	0.0890810258
81	0	0.04993257562	0.0663032354	0.08311767064
82	0	0.04622858616	0.06078155313	0.07684459873
83	0	0.04216219901	0.05494328844	0.06995984426
84	0	0.03784642903	0.0489371858	0.06266603808
85	0	0.03364407956	0.04320608636	0.05558114552
86	0	0.02981258351	0.03804775049	0.04913797724
87	0	0.02649524917	0.03361277562	0.04357173549
88	0	0.02370337839	0.02989192555	0.03889474442
89	0	0.02133766929	0.0267467587	0.03493513288
90	0	0.0192940272	0.0240388364	0.03151550381
91	0	0.01746355011	0.02162939937	0.02845301731
92	0	0.01577805985	0.01943155522	0.02563455835
93	0	0.01421148476	0.01741001138	0.02301817423
94	0	0.0127569339	0.01555242441	0.02059361987
95	0	0.01142577273	0.01386766084	0.0183802486
96	0	0.01022394833	0.01235820281	0.01638752547
97	0	0.009150679333	0.01101886523	0.01461308994
98	0	0.00819840074	0.009837104846	0.01304317785
99	0	0.007352375222	0.008792701923	0.01165228803
100	0	0.06246771978	0.07409177771	0.09438254289
