age	hunter_gatherer	agricultural
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0.01096	0.0109
16	0.01096	0.0109
17	0.01096	0.0109
18	0.01096	0.0109
19	0.01096	0.0109
20	0.02505	0.0249
21	0.02505	0.0249
22	0.02505	0.0249
23	0.02505	0.0249
24	0.02505	0.0249
25	0.02631	0.02615
26	0.02631	0.02615
27	0.02631	0.02615
28	0.02631	0.02615
29	0.02631	0.02615
30	0.02066	0.02053
31	0.02066	0.02053
32	0.02066	0.02053
33	0.02066	0.02053
34	0.02066	0.02053
35	0.01478	0.01469
36	0.01478	0.01469
37	0.01478	0.01469
38	0.01478	0.01469
39	0.01478	0.01469
40	0.00607	0.00604
41	0.00607	0.00604
42	0.00607	0.00604
43	0.00607	0.00604
44	0.00607	0.00604
45	0.00153	0.00152
46	0.00153	0.00152
47	0.00153	0.00152
48	0.00153	0.00152
49	0.00153	0.00152
50	0.00153	0.00152
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
