age	hunter_gatherer	agricultural
1	0.00000	0.00000
2	0.00000	0.00000
3	0.00000	0.00000
4	0.00000	0.00000
5	0.00000	0.00000
6	0.00000	0.00000
7	0.00000	0.00000
8	0.00000	0.00000
9	0.00000	0.00000
10	0.00000	0.00000
11	0.00000	0.00000
12	0.00000	0.00000
13	0.00000	0.00000
14	0.00000	0.00000
15	0.01086	0.01090
16	0.01086	0.01090
17	0.01086	0.01090
18	0.01086	0.01090
19	0.01086	0.01090
20	0.02480	0.02490
21	0.02480	0.02490
22	0.02480	0.02490
23	0.02480	0.02490
24	0.02480	0.02490
25	0.02604	0.02615
26	0.02604	0.02615
27	0.02604	0.02615
28	0.02604	0.02615
29	0.02604	0.02615
30	0.02045	0.02053
31	0.02045	0.02053
32	0.02045	0.02053
33	0.02045	0.02053
34	0.02045	0.02053
35	0.01464	0.01469
36	0.01464	0.01469
37	0.01464	0.01469
38	0.01464	0.01469
39	0.01464	0.01469
40	0.00601	0.00604
41	0.00601	0.00604
42	0.00601	0.00604
43	0.00601	0.00604
44	0.00601	0.00604
45	0.00151	0.00152
46	0.00151	0.00152
47	0.00151	0.00152
48	0.00151	0.00152
49	0.00151	0.00152
50	0.00151	0.00152
51	0.00000	0.00000
52	0.00000	0.00000
53	0.00000	0.00000
54	0.00000	0.00000
55	0.00000	0.00000
56	0.00000	0.00000
57	0.00000	0.00000
58	0.00000	0.00000
59	0.00000	0.00000
60	0.00000	0.00000
61	0.00000	0.00000
62	0.00000	0.00000
63	0.00000	0.00000
64	0.00000	0.00000
65	0.00000	0.00000
66	0.00000	0.00000
67	0.00000	0.00000
68	0.00000	0.00000
69	0.00000	0.00000
70	0.00000	0.00000
71	0.00000	0.00000
72	0.00000	0.00000
73	0.00000	0.00000
74	0.00000	0.00000
75	0.00000	0.00000
76	0.00000	0.00000
77	0.00000	0.00000
78	0.00000	0.00000
79	0.00000	0.00000
80	0.00000	0.00000
81	0.00000	0.00000
82	0.00000	0.00000
83	0.00000	0.00000
84	0.00000	0.00000
85	0.00000	0.00000
86	0.00000	0.00000
87	0.00000	0.00000
88	0.00000	0.00000
89	0.00000	0.00000
90	0.00000	0.00000
91	0.00000	0.00000
92	0.00000	0.00000
93	0.00000	0.00000
94	0.00000	0.00000
95	0.00000	0.00000
96	0.00000	0.00000
97	0.00000	0.00000
98	0.00000	0.00000
99	0.00000	0.00000
100	0.00000	0.00000
