age	hunter_gatherer_male_ndx	hunter_gatherer_female_ndx	agricultural_male_ndx	agricultural_female_ndx
0	28	28	28	28
1	2.506849758	2.491395267	2.460002869	2.470659332
2	1.840221274	1.834818437	1.83476416	1.835158896
3	1.372798715	1.372327988	1.386681682	1.382298233
4	1.047633196	1.049527433	1.06729589	1.061741211
5	0.825251511	0.826560436	0.841076599	0.836564079
6	0.674389673	0.674516781	0.682035682	0.679813443
7	0.5726302	0.571143529	0.570108282	0.570682239
8	0.500673109	0.497314303	0.488586125	0.491649114
9	0.443531874	0.439444095	0.425750474	0.43039298
10	0.39067768	0.386205446	0.372340727	0.37701149
11	0.335710809	0.332608447	0.323741158	0.326781125
12	0.281436155	0.280769286	0.280065009	0.2804326
13	0.233603013	0.235020068	0.243143525	0.240568732
14	0.198726007	0.202121199	0.217235894	0.212275983
15	0.181822442	0.185994724	0.205497514	0.199024423
16	0.186930961	0.191417908	0.212126463	0.20529419
17	0.224314239	0.227958087	0.244238103	0.239080668
18	0.315584018	0.314653656	0.3124738	0.313646883
19	0.508149082	0.493203707	0.435510526	0.454224534
20	0.876106331	0.817188207	0.625554411	0.683211185
21	1.465059371	1.317888893	0.871218315	0.997114064
22	2.183569779	1.906046084	1.114097541	1.325750552
23	2.715972966	2.324110016	1.258307417	1.533779081
24	2.812717745	2.405838904	1.269337332	1.55947123
25	2.548796179	2.187528028	1.177513348	1.436848031
26	2.163019352	1.879253574	1.060248813	1.273627466
27	1.858973189	1.639218987	0.97640761	1.151613497
28	1.692826907	1.50574655	0.939914732	1.090848747
29	1.659926637	1.48521145	0.952591674	1.094832626
30	1.739542412	1.551035059	0.994422408	1.142207294
31	1.89502316	1.674079488	1.039073539	1.205761102
32	2.087053793	1.81808954	1.063771176	1.258612991
33	2.262825803	1.938314141	1.051956333	1.276450739
34	2.372819514	2.005662691	1.015612316	1.262069554
35	2.385295841	2.004178613	0.976524044	1.23067446
36	2.294779875	1.941422099	0.960324046	1.20594064
37	2.122654965	1.83573783	0.990764494	1.210020465
38	1.902594178	1.706419138	1.077756832	1.249556639
39	1.669501503	1.569948251	1.22875872	1.325205909
40	1.449602719	1.43764074	1.430361732	1.421970625
41	1.259161962	1.316600756	1.644510268	1.514277641
42	1.103347649	1.209595659	1.819292969	1.576959946
43	0.980988647	1.117198062	1.899506676	1.588728407
44	0.888022422	1.037994543	1.87581655	1.550557366
45	0.819337319	0.970166954	1.775221098	1.477127275
46	0.770874664	0.912912504	1.645209825	1.391089172
47	0.739510405	0.866131049	1.529824849	1.314035213
48	0.723610514	0.832304589	1.451273696	1.259218193
49	0.722797015	0.814976822	1.420878036	1.235207354
50	0.737060165	0.818427208	1.440872911	1.245991934
51	0.766434852	0.847570343	1.510629655	1.294000135
52	0.808450788	0.901910185	1.622403489	1.375017701
53	0.8562131	0.975907616	1.75938259	1.477938641
54	0.897135904	1.049990924	1.886197102	1.576124883
55	0.91227512	1.091474284	1.951162059	1.629325002
56	0.884120418	1.069655221	1.907495743	1.60063985
57	0.804414458	0.970777262	1.735956239	1.472560176
58	0.68206795	0.817404416	1.468695579	1.268146599
59	0.540051554	0.648281144	1.165346062	1.03223572
60	0.402760275	0.495595433	0.881503558	0.807637795
61	0.287013104	0.375065362	0.648202452	0.6198918
62	0.198237299	0.287329561	0.473228923	0.476085277
63	0.134414173	0.227163506	0.350695518	0.373085086
64	0.090407579	0.188264727	0.269772316	0.303846237
65	0.060790811	0.165637046	0.22048934	0.261729579
66	0.041054031	0.155510911	0.194284462	0.240798329
67	0.027888507	0.155420734	0.18563408	0.237045244
68	0.019060127	0.162911446	0.19020626	0.246536623
69	0.042752714	0.174285317	0.20315344	0.263615631
70	0.000150461	0.184204158	0.21795771	0.280083489
71	7.89019E-08	0.185574855	0.224843903	0.284408006
72	0	0.174810034	0.21717744	0.270031614
73	0	0.153907498	0.195189929	0.2391572
74	0	0.128657285	0.16534328	0.200573871
75	0	0.105372671	0.136236075	0.164457506
76	0	0.086880799	0.112311242	0.13555718
77	0	0.073703308	0.094847544	0.114899705
78	0	0.064948792	0.082959212	0.101161825
79	0	0.059124298	0.074815741	0.092013156
80	0	0.054992224	0.068872604	0.085511502
81	0	0.051364069	0.06366062	0.079786354
82	0	0.047553996	0.058359316	0.073764602
83	0	0.043370738	0.052754457	0.067156209
84	0	0.03893076	0.046988566	0.060155383
85	0	0.034607534	0.0414865	0.05335495
86	0	0.03066601	0.03653401	0.047170192
87	0	0.027253628	0.032275704	0.041826863
88	0	0.024381963	0.028702812	0.037336875
89	0	0.021948756	0.025682578	0.033535406
90	0	0.019846839	0.023082203	0.030252301
91	0	0.017964113	0.020768555	0.027312168
92	0	0.016230417	0.01865823	0.024606479
93	0	0.014618957	0.016717295	0.022094949
94	0	0.013122686	0.014933834	0.019767702
95	0	0.011753348	0.013316281	0.017643243
96	0	0.010517092	0.011866978	0.015730601
97	0	0.009413119	0.010580942	0.014027465
98	0	0.008433638	0.009446146	0.012520597
99	0	0.007563458	0.008443218	0.011185504
100	0	0.064260294	0.071150011	0.090597245
