んあう	n'ō
んいう	n'yū
んうう	n'ū
んえう	n'yō
んおう	n'ō
んおお	n'ō
んやう	n'yō
んゆう	n'yū
んよう	n'yō
んよお	n'yō
つぁう	tsō
てぃう	tyū
とぅう	tū
つぇう	tsyō
つぉう	tsō
つぉお	tsō
ふぁう	fō
ふぃう	fyū
ふぇう	fyō
ふぉう	fō
ふぉお	fō
でぃう	dyū
どぅう	zū
でゅう	dyū
きゃう	kyō
きゅう	kyū
きょう	kyō
きょお	kyō
しゃう	shō
しゅう	shū
しぇう	shyō
しょう	shō
しょお	shō
ちゃう	chō
ちゅう	chū
ちぇう	chyō
ちょう	chō
ちょお	chō
にゃう	nyō
にゅう	nyū
にょう	nyō
にょお	nyō
ひゃう	hyō
ひゅう	hyū
ひょう	hyō
ひょお	hyō
ふゅう	fyū
みゃう	myō
みゅう	myū
みょう	myō
みょお	myō
りゃう	ryō
りゅう	ryū
りょう	ryō
りょお	ryō
ぎゃう	gyō
ぎゅう	gyū
ぎょう	gyō
ぎょお	gyō
じゃう	jō
じゅう	jū
じぇう	jyō
じょう	jō
じょお	jō
びゃう	byō
びゅう	byū
びょう	byō
びょお	byō
ぴゃう	pyō
ぴゅう	pyū
ぴょう	pyō
ぴょお	pyō
んあ	n’a
んい	n’i
んう	n’u
んえ	n’e
んお	n’o
んや	n’ya
んゆ	n’yu
んよ	n’yo
つぁ	tsa
てぃ	ti
とぅ	tu
つぇ	tse
つぉ	tso
ふぁ	fa
ふぃ	fi
ふぇ	fe
ふぉ	fo
でぃ	di
どぅ	zu
でゅ	dyu
きゃ	kya
きゅ	kyu
きょ	kyo
しゃ	sha
しゅ	shu
しぇ	she
しょ	sho
ちゃ	cha
ちゅ	chu
ちぇ	che
ちょ	cho
にゃ	nya
にゅ	nyu
にょ	nyo
ひゃ	hya
ひゅ	hyu
ひょ	hyo
ふゅ	fyu
みゃ	mya
みゅ	myu
みょ	myo
りゃ	rya
りゅ	ryu
りょ	ryo
ぎゃ	gya
ぎゅ	gyu
ぎょ	gyo
じゃ	ja
じゅ	ju
じぇ	je
じょ	jo
びゃ	bya
びゅ	byu
びょ	byo
ぴゃ	pya
ぴゅ	pyu
ぴょ	pyo
かう	kō
きう	kyū
くう	kū
けう	kyō
こう	kō
こお	kō
さう	sō
しう	shyū
すう	sū
せう	syō
そう	sō
そお	sō
たう	tō
ちう	chyū
つう	tsū
てう	tyō
とう	tō
とお	tō
なう	nō
にう	nyū
ぬう	nū
ねう	nyō
のう	nō
のお	nō
はう	hō
ひう	hyū
ふう	fū
へう	hyō
ほう	hō
ほお	hō
まう	mō
みう	myū
むう	mū
めう	myō
もう	mō
もお	mō
やう	yō
ゆう	yū
よう	yō
よお	yō
らう	rō
りう	ryū
るう	rū
れう	ryō
ろう	rō
ろお	rō
わう	wō
がう	gō
ぎう	gyū
ぐう	gū
げう	gyō
ごう	gō
ごお	gō
ざう	zō
じう	jyū
ずう	zū
ぜう	zyō
ぞう	zō
ぞお	zō
だう	dō
ぢう	jyū
づう	dū
でう	dyō
どう	dō
どお	dō
ばう	bō
びう	byū
ぶう	bū
べう	byō
ぼう	bō
ぼお	bō
ぱう	pō
ぴう	pyū
ぷう	pū
ぺう	pyō
ぽう	pō
ぽお	pō
あう	ō
いう	yū
うう	ū
えう	yō
おう	ō
おお	ō
か	ka
き	ki
く	ku
け	ke
こ	ko
さ	sa
し	shi
す	su
せ	se
そ	so
た	ta
ち	chi
つ	tsu
て	te
と	to
な	na
に	ni
ぬ	nu
ね	ne
の	no
は	ha
ひ	hi
ふ	fu
へ	he
ほ	ho
ま	ma
み	mi
む	mu
め	me
も	mo
や	ya
ゆ	yu
よ	yo
ら	ra
り	ri
る	ru
れ	re
ろ	ro
わ	wa
が	ga
ぎ	gi
ぐ	gu
げ	ge
ご	go
ざ	za
じ	ji
ず	zu
ぜ	ze
ぞ	zo
だ	da
ぢ	ji
づ	du
で	de
ど	do
ば	ba
び	bi
ぶ	bu
べ	be
ぼ	bo
ぱ	pa
ぴ	pi
ぷ	pu
ぺ	pe
ぽ	po
あ	a
い	i
う	u
え	e
お	o
っa	a
っb	bb
っc	cc
っd	dd
っe	e
っf	ff
っg	gg
っh	hh
っi	i
っj	jj
っk	kk
っl	ll
っm	mm
っn	nn
っo	o
っp	pp
っq	qq
っr	rr
っs	ss
っt	tt
っu	u
っv	vv
っw	ww
っx	xx
っy	yy
っz	zz
ん	n
っ	
ぁ	
ぃ	
ぅ	
ぇ	
ぉ	
