Ref.ID	Museum ID	Y haplogroup	Mt haplogroup	Y Haplogroup	Отнесение	BC cal range (95%)	Site	Arch. Period	Context	Sex	Age	Lat	Long
DA357	LOK_1985.031.02	C-F4015	A+152+16362	C-F4015	Прибайкалье, неолит		Lokomotiv	EN	Grave 31-2	Male	25-30	52.286944	104.249167
MA2208-09		G2a2b1-M406	H6a1b2e	G2a2b1-M406	Анатолия, бронза		Kalehöyük	Assyrian IIIc	940826, S2 (skeleton 2), North, Sector I, Grid XLV-54 (GG)	nd	nd	39.345805	33.78813
DA379	6286-38	J		J	Туркмения, энеолит	3369-3077	Kara-Depe	Namazga III	Excavation 1, burial 43	Male	30-35	37.60098	59.328411
DA381	6286-89	J	J1+16193	J	Туркмения, энеолит	3364-3261	Geoksur	nd	Excavation 2, room 18, near tolos B	Male	50+	37.455728	60.74589
MA2212		J2a	W5	J2a	Анатолия, бронза		Ovaören	EBA II	G-137, the well of layer V, individual no. 2.	nd	nd	38.629306	34.297718
MA2200-01		J2a1	K1a+150	J2a1	Анатолия, бронза		Kalehöyük	Old Hittite	HS 89-01, 89 08 17, Sector III, Grid XLI-54 (C), Provisional Layer 48 – IIIb	nd	nd	39.345805	33.78813
MA2205		J2a1	J2b1	J2a1	Анатолия, бронза		Kalehöyük	Assyrian IIIc	HS 11-1, 110705, North, Sector VIII, Grid XXX-55 (WW), Provisional Layer 75	nd	child?	39.345805	33.78813
DA247	SHA_2004.051	N-Y6503	C4	N-Y6503	Прибайкалье, неолит		Shamanka II	EN	Grave 51	Male	20-25	51.698333	103.703056
DA251	SHA_2008.108.03	N	D4j	N	Прибайкалье, неолит		Shamanka II	EN	Grave 108-3	Male	25-35	51.698333	103.703056
DA359	LOK_1980.016	N1a	D4+195	N1a	Прибайкалье, неолит		Lokomotiv	EN	Grave 16	Male	45-55	52.286944	104.249167
DA345	UID_1995.056.01	N-TAT>F1419*	D4j	N-TAT>F1419*	Прибайкалье, неолит	3550-2550	Ust'-Ida	LN	Grave 56-1	Male	35-50	53.188889	103.368056
DA245	SHA_2006.076	N-L666*	G2a1	N-L666*	Прибайкалье, неолит		Shamanka II	EN	Grave 76	Male	40-50	51.698333	103.703056
DA248	SHA_2005.063.01	N-L666	C4	N-L666	Прибайкалье, неолит		Shamanka II	EN	Grave 63-1	Male	25-29	51.698333	103.703056
DA362	SHA_2004.049.01	N1a2	D4e1	N1a2	Прибайкалье, неолит		Shamanka II	EN	Grave 49-1	Male?	nd	51.698333	103.703056
BOT15		N-P189.2*	R1b1	N-P189.2*	Ботайская культура	3327-3094	Botai	EN	Botai Excavation 15	nd	nd	53.305983	67.648166
DA250	SHA_1998.006	NO	G2a1	NO	Прибайкалье, неолит		Shamanka II	EN	Grave 6	Male?	16-18	51.698333	103.703056
RISE664	6160-33	Q-L330>Y18330	A8a1	Q-L330>Y18330	Окуневская культура	2459-2206	Okunev Ulus	EBA		Male	Mature	53.547806	91.02565
RISE719		Q-L330>BZ180	C5c	Q-L330>BZ180	Окуневская культура		Syda 5, Tumen	EBA	IPDN 6/H, Kurgan 4	nd	nd	54.371767	91.506856
RISE662	6160-32	Q-L330>L332	H6a	Q-L330>L332	Окуневская культура	2290-1949	Okunev Ulus	EBA		Male	Mature	53.547806	91.02565
RISE718		Q-L330>L332	C5c	Q-L330>L332	Окуневская культура	2573-2348	Syda 5, Tumen	EBA	IPDN 6/H, Kurgan 3	nd	nd	54.371767	91.506856
DA339	SHA_2008.111	Q-L330>YP1102	G2a1	Q-L330>YP1102	Прибайкалье, бронза		Shamanka II	EBA	Grave 111	Male	18-20	51.698333	103.703056
