key	language_en_us	language_ja_jp	language_zh_tw	language_zh_cn	language_ko_kr	language_es	language_pt	language_de	language_fr	language_it	language_tr	language_pl	language_el	language_nl	language_cs	language_uk	language_ru	language_id	language_fa	language_ar	language_null
menu_bar_map	Map(M)	地図(M)	地図(M)	地図(M)	지도(M)	Mapa(M)	Mapa(M)	Karte(M)	Carte(M)	Mappa(M)	Harita(M)	Mapa(M)	Χάρτης(M)	Kaart (M)	Mapa(M)	Карта(M)	Карта (M)	Peta (M)	نقشه (M)	خريطة (M)	Map(M)
menu_bar_map_base	Base	通常	通常	通常	보통	Base	Base	Basis	Base	Base	Üs	Baza	Βάση	Basis	Základna	База	База	Pangkalan	پایه	قاعدة	Base
menu_bar_map_land_and_sea	Land and Sea	陸海	陸海	陸海	육해	Tierra y Mar	Terra e Mar	Land und Meer	Terre et mer	Terra e mare	Kara ve Deniz	Ląd i morze	Γη και θάλασσα	Land en Zee	Země a moře	Суша і море	Земля и море	Daratan dan Laut	خشکی و دریا	الأرض والبحر	Land and Sea
menu_bar_map_land_and_water	Land and Water	陸水	陸水	陸水	육수	Tierra y Agua	Terra e água	Land und Wasser	Terre et eau	Terra e acqua	Kara ve Su	Ląd i woda	Γη και Νερό	Land en Water	Země a voda	Суша і вода	Земля и вода	Tanah dan Air	زمین و آب	الأرض والمياه	Land and Water
menu_bar_map_soil	Soil	土壌	土壌	土壌	토양	Suelo	Solo	Boden	Sol	Suolo	Toprak	Gleba	Έδαφος	Bodem	Půda	Ґрунт	Почва	Tanah	خاک	تربة	Soil
menu_bar_map_soil_temperature	Soil Temperature	土壌温度	土壌温度	土壌温度	토양 온도	Temperatura del suelo	Temperatura do solo	Bodentemperatur	Température du sol	Temperatura del suolo	Toprak Sıcaklığı	Temperatura gleby	Θερμοκρασία εδάφους	Bodem Temperatuur	Teplota půdy	Температура ґрунту	Температура почвы	Suhu Tanah	دمای خاک	درجة حرارة التربة	Soil Temperature
menu_bar_map_ryosei_country	Ryosei Country	令制国	令制国	令制国	율령국	País Ryosei	País de Ryosei	Ryosei Land	Pays Ryosei	Paese Ryosei	Ryosei Ülkesi	Kraj Ryosei	Χώρα Ryosei	Ryosei Land	Země Ryosei	Країна Рьосей	Страна Рёсэй	Negara Ryosei	کشور Ryosei	دولة Ryosei	Ryosei Country
menu_bar_map_ryosei_line	Ryosei Line	令制国線	令制国線	令制国線	율령국선	Línea Ryosei	Linha de Ryosei	Ryosei Linie	Ligne Ryosei	Linea Ryosei	Ryosei Line	Linia Ryosei	Γραμμή Ryosei	Ryosei Lijn	Linie Ryosei	Лінія Рьосей	Линия Рёсэй	Garis Ryosei	خط Ryosei	خط Ryosei	Ryosei Line
menu_bar_map_slope	Slope	傾斜	坡度	坡度	경사면	Pendiente	Declive	Gefälle	Pente	Pendenza	Eğim	Nachylenie	Κλίση	Helling	Svah	Схил	Склон	Kemiringan	شیب	ميل	Slope
menu_bar_map_lakes_and_rivers1	Lakes and rivers1	湖川1	河流和湖泊1	河流和湖泊1	호수와 강1	Lagos y ríos1	Lagos e rios1	Seen und Flüsse1	Lacs et rivières1	Laghi e fiumi1	Göller ve nehirler1	Jeziora i rzeki1	Λίμνες και ποτάμια1	Meren en rivieren1	Jezera a řeky1	Озера та річки1	Озера и реки1	Danau dan sungai1	دریاچه ها و رودخانه ها 1	البحيرات والأنهار 1	Lakes and rivers1
menu_bar_map_lakes_and_rivers2	Lakes and rivers2	湖川2	河流和湖泊2	河流和湖泊2	호수와 강2	Lagos y ríos2	Lagos e rios2	Seen und Flüsse2	Lacs et rivières2	Laghi e fiumi2	Göller ve nehirler2	Jeziora i rzeki2	Λίμνες και ποτάμια2	Meren en rivieren2	Jezera a řeky2	Озера та річки2	Озера и реки2	Danau dan sungai2	دریاچه ها و رودخانه ها 2	البحيرات والأنهار 2	Lakes and rivers2
menu_bar_map_line1	Line1	線1	線1	線1	선1	Línea1	Linha1	Linie1	Ligne 1	Linea1	Hat1	Linia1	Γραμμή1	Lijn1	Linie1	Лінія1	Линия1	Garis1	خط 1	خط 1	Line1
menu_bar_map_line2	Line2	線2	線2	線2	선2	Línea2	Linha 2	Linie2	Ligne 2	Linea2	Hat2	Linia2	Γραμμή2	Lijn2	Linie2	Лінія2	Линия2	Jalur2	خط 2	خط 2	Line2
