age	hunter_gatherer	agricultural
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0.00002406070935	0.00002406070935
15	0.0000999193559	0.0000999193559
16	0.0001801960986	0.0001801960986
17	0.0002655688094	0.0002655688094
18	0.0003566819091	0.0003566819091
19	0.0004543116545	0.0004543116545
20	0.0005596983552	0.0005596983552
21	0.0006738154246	0.0006738154246
22	0.0007987892143	0.0007987892143
23	0.0009364230216	0.0009364230216
24	0.001090492486	0.001090492486
25	0.001264808867	0.001264808867
26	0.001466735971	0.001466735971
27	0.001708237472	0.001708237472
28	0.002009174274	0.002009174274
29	0.002415100186	0.002415100186
30	0.003069963989	0.003069963989
31	0.003501269398	0.003501269398
32	0.002900537962	0.002900537962
33	0.002311693015	0.002311693015
34	0.001925943523	0.001925943523
35	0.001634529996	0.001634529996
36	0.00139731704	0.00139731704
37	0.00119579845	0.00119579845
38	0.001020056776	0.001020056776
39	0.0008643135606	0.0008643135606
40	0.0007241054103	0.0007241054103
41	0.0005966677953	0.0005966677953
42	0.000479763441	0.000479763441
43	0.000372157336	0.000372157336
44	0.0002724644279	0.0002724644279
45	0.0001799391851	0.0001799391851
46	0.0000938971269	0.0000938971269
47	0.00001372884237	0.00001372884237
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
