latitude	longitude	first_year	last_year	texture	overall_length
24.56176973	124.5275492	-18861	-18761	MtDNA_R	100
24.46006324	124.532552	-18260	-18160	MtDNA_B4e	100
26.12910271	127.7591003	-18000	-17900	MtDNA_Mx	100
24.638415	105.179068	-9610	-9510	MtDNA_M71	100
45.87746337	123.9371649	-9290	-9190	MtDNA_D4h	100
26.083912	106.836915	-9240	-9140	MtDNA_M71	100
33.61783829	132.96033	-6918.5	-6818.5	MtDNA_N9b	100
42	114.2	-6475	-6375	MtDNA_C5d	100
36.63560878	138.8649343	-6350	-6250	MtDNA_N9b	100
36.66049259	138.729408	-6350	-6250	MtDNA_M7a	100
36.70394538	139.0217219	-6350	-6250	MtDNA_N9b	100
36.77902097	138.8379775	-6350	-6250	MtDNA_N9b	100
36.87466908	139.0444561	-6350	-6250	MtDNA_N9b	100
36.95569945	139.0162964	-6350	-6250	MtDNA_N9b	100
36.67658592	138.6556347	-6350	-6250	MtDNA_N9b	100
26.68460474	120.6596214	-6290	-6190	MtDNA_E1	100
33.73536627	130.4991081	-5963	-5863	MtDNA_N9a	100
33.35641389	130.646785	-5963	-5863	MtDNA_M7a	100
33.53372947	130.4594894	-5963	-5863	MtDNA_M80	100
36.62237949	138.4405886	-5957.5	-5857.5	MtDNA_D4b	100
26.33231491	120.3403277	-5675	-5575	MtDNA_R9	100
49.61707339	117.9640614	-5542.5	-5442.5	MtDNA_C5	100
45.93680052	124.2346944	-5475	-5375	MtDNA_B4c	100
49.44078255	117.8195111	-5450	-5350	MtDNA_C4a	100
49.4190825	117.785278	-5450	-5350	MtDNA_C5a	100
49.31128697	117.9428237	-5450	-5350	MtDNA_Z3a	100
49.25831128	118.1460892	-5450	-5350	MtDNA_C4a	100
35.00279901	128.1529367	-4750	-4650	MtDNA_N	100
35.42887681	129.0610642	-4673	-4573	MtDNA_D4b	100
35.35767592	128.8302623	-4660	-4560	MtDNA_D4b	100
35.54386698	129.1796048	-4550	-4450	MtDNA_D4b	100
35.17754427	129.1459118	-4457.5	-4357.5	MtDNA_D4a	100
35.10070623	128.896986	-4364	-4264	MtDNA_D4b	100
35.20280637	129.1518502	-4332	-4232	MtDNA_D4a	100
37.07269361	137.2874765	-4304	-4204	MtDNA_M7a	100
32.67992504	130.6408927	-4252	-4152	MtDNA_M7a	100
36.98192146	137.1959027	-4156.5	-4056.5	MtDNA_N9b	100
34.564554	110.977875	-4156	-4056	MtDNA_D4g	100
37.18165764	137.2428961	-4050	-3950	MtDNA_M9a	100
37.01128502	137.5943703	-4050	-3950	MtDNA_A4	100
37.13903375	137.5421514	-4050	-3950	MtDNA_M9a	100
36.82450838	137.2594077	-4050	-3950	MtDNA_G2	100
36.8269724	137.3917873	-4050	-3950	MtDNA_M9a	100
36.95960442	137.5276918	-4050	-3950	MtDNA_N9b	100
37.20593	137.2307121	-4050	-3950	MtDNA_N9b	100
36.97387627	137.3460553	-4050	-3950	MtDNA_M7	100
37.20165278	137.2986042	-4050	-3950	MtDNA_A	100
37.05354497	137.1978911	-4050	-3950	MtDNA_N9b	100
37.21579586	137.2708721	-4050	-3950	MtDNA_N9b	100
37.13678709	137.4081661	-4050	-3950	MtDNA_M7a	100
37.03887062	137.4397165	-4050	-3950	MtDNA_N9b	100
42.86190176	141.114068	-4050	-3950	MtDNA_M7a	100
42.50197959	141.1231408	-4050	-3950	MtDNA_D4h	100
35.850908	139.690539	-4050	-3950	MtDNA_E1a	100
42.78402917	141.0459791	-4050	-3950	MtDNA_D1	100
46.00482723	124.2313994	-4005	-3905	MtDNA_A	100
36.84696299	137.2049336	-3934	-3834	MtDNA_N9b	100
36.82567972	137.6287726	-3919.5	-3819.5	MtDNA_M7a	100
44.0355421	121.9948977	-3715	-3615	MtDNA_D4j	100
34.5894	133.7748	-3634	-3534	MtDNA_M7a	100
46.08788437	123.9039808	-3625	-3525	MtDNA_Y1a	100
45.75631698	124.2764129	-3610	-3510	MtDNA_D4c	100
40.79904814	113.4932652	-3550	-3450	MtDNA_A14	100
41.25644419	113.354811	-3550	-3450	MtDNA_C4a	100
40.93287958	113.3758293	-3550	-3450	MtDNA_D4b	100
45.86530323	124.2756109	-3515	-3415	MtDNA_D4e	100
41.70024778	120.2828442	-3350	-3250	MtDNA_D5a	100
41.70469205	120.2892376	-3350	-3250	MtDNA_D5a	100
35.15296451	113.8301282	-3350	-3250	MtDNA_M8a	100
34.99199526	113.5500572	-3350	-3250	MtDNA_C4a	100
35.18030126	113.8846537	-3350	-3250	MtDNA_B4d	100
35.24020917	113.8074553	-3280	-3180	MtDNA_F1d	100
41.80368385	120.6810534	-3268	-3168	MtDNA_D5a	100
35.62370021	140.1639843	-3060	-2960	MtDNA_M7a	100
35.73769865	139.9654144	-3060	-2960	MtDNA_N9b	100
42.2229	140.3221	-3050	-2950	MtDNA_N9b	100
35.67839688	140.5926048	-3050	-2950	MtDNA_M7a	100
35.87303403	140.6675506	-3050	-2950	MtDNA_N9b	100
35.8669784	140.2418291	-3050	-2950	MtDNA_N9b	100
35.89470436	140.4561214	-3050	-2950	MtDNA_N9b	100
32.0988196	104.2289298	-3050	-2950	MtDNA_D4	100
31.88592919	104.1389332	-3050	-2950	MtDNA_D4c	100
35.63276628	140.2416996	-3050	-2950	MtDNA_N9b	100
35.66382608	140.6173514	-3050	-2950	MtDNA_N9b	100
35.62292231	140.1904576	-3050	-2950	MtDNA_N9b	100
35.84637346	140.6366975	-3050	-2950	MtDNA_N9	100
35.72861163	140.3672613	-3050	-2950	MtDNA_N9b	100
35.94128391	140.2807958	-3050	-2950	MtDNA_M7a	100
35.82229044	140.2366814	-3050	-2950	MtDNA_M7a	100
35.63899303	140.6135866	-3050	-2950	MtDNA_M7a	100
35.64760157	140.4864278	-3050	-2950	MtDNA_M7a	100
43.89542651	82.51344584	-2929	-2829	MtDNA_H15	100
46.8213	85.9201	-2882	-2782	MtDNA_H2b	100
48.0830074	86.39582058	-2877	-2777	MtDNA_U5a	100
48.39867582	86.46973147	-2850	-2750	MtDNA_T2d	100
36.98764008	103.5785402	-2850	-2750	MtDNA_D4j	100
37.05569896	103.170642	-2850	-2750	MtDNA_D4j	100
42.55974047	141.0103509	-2550	-2450	MtDNA_N9b	100
42.77353302	141.0158557	-2550	-2450	MtDNA_M7a	100
42.81111166	140.8659355	-2550	-2450	MtDNA_D4h	100
42.61899976	141.0660467	-2550	-2450	MtDNA_N9b	100
42.93300282	140.9516776	-2550	-2450	MtDNA_N9b	100
35.7518495	100.731584	-2550	-2450	MtDNA_D4i	100
35.43645274	100.6375362	-2550	-2450	MtDNA_D4i	100
35.70534765	100.4917245	-2550	-2450	MtDNA_D4i	100
35.53200725	100.4910987	-2550	-2450	MtDNA_D4i	100
35.44595009	100.6823847	-2550	-2450	MtDNA_D4i	100
35.7854857	100.6697875	-2550	-2450	MtDNA_D4i	100
35.62379169	100.3263452	-2550	-2450	MtDNA_D4i	100
35.76636679	100.4471877	-2550	-2450	MtDNA_D4i	100
35.38870652	100.6784038	-2550	-2450	MtDNA_G2a	100
35.61567651	100.3550103	-2550	-2450	MtDNA_G2a	100
35.72192371	100.612472	-2550	-2450	MtDNA_D4j	100
35.44030632	100.3084452	-2550	-2450	MtDNA_D4j	100
35.39849606	100.3160293	-2550	-2450	MtDNA_D4	100
35.65707082	100.7563552	-2550	-2450	MtDNA_G2b	100
42.65913222	140.9845135	-2550	-2450	MtDNA_N9b	100
42.94760071	140.867684	-2550	-2450	MtDNA_M7a	100
42.79357295	141.0838187	-2550	-2450	MtDNA_D1	100
42.7562964	140.9982921	-2550	-2450	MtDNA_N9b	100
35.78717958	140.3414292	-2504	-2404	MtDNA_N9b	100
36.265237	102.733043	-2450	-2350	MtDNA_G2a	100
36.53558184	102.7618661	-2392	-2292	MtDNA_F1b	100
36.2	102.8	-2382	-2282	MtDNA_C7b	100
35.57537018	140.4669569	-2379	-2279	MtDNA_N9b	100
34.6402	128.2535	-2350	-2250	MtDNA_M7a	100
41.283667	141.344976	-2283	-2183	MtDNA_D4h	100
35.63505618	140.3557743	-2269	-2169	MtDNA_N9b	100
35.57118578	140.4457122	-2241	-2141	MtDNA_N9b	100
35.76009459	140.6182648	-2227	-2127	MtDNA_M7a	100
32.27913962	130.771626	-2225	-2125	MtDNA_M7a	100
33.75702258	115.1499845	-2210	-2110	MtDNA_D4b	100
