ja-JP	latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
青谷上寺地遺跡	35.51375301	133.9934929	C1a1	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	D1b	1669378	1893636	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	D (D1b?)	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	O	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	O1b2a1	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	C1a1	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	D	1628562	1866426	0	1000
青谷上寺地遺跡	35.51375301	133.9934929	O1b2a1a1	1628562	1866426	0	1000
下本山岩陰	33.20574526	129.6760548	O	1590047	1840749	0	1000
猪目洞窟遺跡	35.44323951	132.7081765	O1b2a1a1	1942214	2075527	0	1000
高松茶臼山古墳	34.30832241	134.1041818	C1a1	1798673	1979834	0	1000
三貫地貝塚	37.84458338	140.9056198	(D1a とするデータ有)	1059276	1486902	0	1000
船泊遺跡	45.41584666	141.0183345	D1b2b	851965	1348695	0	1000
小竹貝塚	36.7242	137.165	D1b1d1	-267430	602431	0	1000
小竹貝塚	36.7242	137.165	D1b1d1	-105263	710543	0	1000
小竹貝塚	36.7242	137.165	D1b1d1	-98907	714780	0	1000
岩出横穴墓	36.61869826	136.7023239	O3a2c	1847762	2012559	0	1000
灰塚山古墳	37.62363115	139.8300489	D1b1a2b1a	1754187	1950176	0	1000
慶北永川完山洞古墳群	35.96282266	128.9502796	C2c1b	1868800	2026585	0	1000
慶北永川完山洞古墳群	35.96282266	128.9502796	O1b2a1a2a	1817301	1992252	0	1000
大坪貝塚	32.60667333	130.7142555	C1a1	1644176	1876835	0	1000
大坪貝塚	32.60667333	130.7142555	D1b1c2	1646367	1878296	0	1000
大坪貝塚	32.60667333	130.7142555	D1b1c2	1709919	1920664	0	1000
平粮台	33.7086	114.9225	N1b2*>MF20869	710616	1254462	0	1000
平粮台	33.7086	114.9225	N1b2*>MF20869	704261	1250225	0	1000
郝家台	33.5922	114.0221	C2b1b1-CTS10923	705576	1251102	0	1000
郝家台	33.5922	114.0221	O2a1a1b-F915	738228	1272870	0	1000
郝家台	33.5922	114.0221	O2a2a	1507210	1785525	0	1000
瓦店	34.1784	113.372	O2a2b1a2a1c-F3386	682785	1235908	0	1000
石人子沟	43.6097	93.1667	R1b2	1509401	1786986	0	1000
石人子沟	43.6097	93.1667	R1a1a1b2-Z93(Z2121- Z29137- Y36424- Y2424-)	1469955	1760688	0	1000
石人子沟	43.6097	93.1667	IJK (xI xJ xLT xN)[质量较差无法细分]	1469955	1760688	0	1000
石人子沟	43.6097	93.1667	R1b2b2	1509401	1786986	0	1000
石人子沟	43.6097	93.1667	Q1a1a(MF1646- Y557-)	1509401	1786986	0	1000
石人子沟	43.6097	93.1667	Q1a2a2b1-F5400	1509401	1786986	0	1000
洪河村	47.105432	123.600045	C2a	720478	1261036	0	1000
洪河村	47.105432	123.600045	P~[质量较差无法细分]	720478	1261036	0	1000
洪河村	47.105432	123.600045	Q1a1a(F1907-)	720478	1261036	0	1000
龙头山	43.059737	118.318991	N1a1a3	1218814	1593261	0	1000
龙头山	43.059737	118.318991	C2a1a1a2a1	1158769	1553230	0	1000
半拉山	41.4146691	120.2743518	O2a2b	150699	881184	0	1000
