ソート	地方＆都道府県番号	ID	国名2文字	国名	地方番号	地方	都道府県番号	都道府県			緯度	経度	遺跡	Site Name	標本番号	性別	年齢	可視化開始ユリウス日=IF(S2="","",ROUND((S2-R2/2)*365.2425+1721242,0))	可視化終了ユリウス日=IF(S2="","",ROUND((S2+R2/2)*365.2425+1721242,0))	ユリウス日=IF(S2="","",ROUND(S2*365.2425+1721242,0))	可視化する年代幅=IF(S2="","",-0.4*IF(S2>1400,1400,S2)+680)	時代(数値のみ)	時代	14C年代	較正14C年代(1σ)	較正14C年代(2σ)		年代	年代補足	ハプログループ結果	使用部位	APLP	PCR-Luminex	その他	その他手法				NGS	手法	(Quality)	NGS	手法	(Quality)	Schmutziによる汚染率推定 [min, max]		Y	Y新	文献1	文献2	文献3	文献4	文献5
JP10631	631	1	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.1 (29240)			1628562	1866426	1747494	651.25	71.875								B5b1a2	上顎骨 右第 2 大臼歯								B5b1a2	Kanzawa-Kiriyama et al.[2017]		B5b1a2	Haplogrep2.0 Weissensteiner et al.[2016]	0.899					[1]	[2]			
JP10631	631	2	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.2 (26530)			1628562	1866426	1747494	651.25	71.875								D4g1c	上顎骨 左第 2 大臼歯								D4g1c	Kanzawa-Kiriyama et al.[2017]		D	Haplogrep2.0 Weissensteiner et al.[2016]	0.8161					[1]	[2]			
JP10631	631	3	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.3 (27708)			1628562	1866426	1747494	651.25	71.875								D4b2b1d	上顎骨 右第 2 大臼歯								D4b2b1d	Kanzawa-Kiriyama et al.[2017]		D4b2b1d	Haplogrep2.0 Weissensteiner et al.[2016]	0.9834					[1]	[2]			
JP10631	631	4	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.4 (26396-1)			1628562	1866426	1747494	651.25	71.875								M7b1a1a1*	上顎骨 右第 2 大臼歯								M7b1a1a1*	Kanzawa-Kiriyama et al.[2017]		M7b1a1a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.8806					[1]	[2]			
JP10631	631	5	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.5 (26356-1)			1628562	1866426	1747494	651.25	71.875								B4f	下顎骨 左第 3 大臼歯								B4f	Kanzawa-Kiriyama et al.[2017]		B4f	Haplogrep2.0 Weissensteiner et al.[2016]	0.8013					[1]	[2]			
JP10631	631	6	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.6 (29241-1)			1628562	1866426	1747494	651.25	71.875								D4c2*	上顎骨 左第 2 大臼歯								D4c2*	Kanzawa-Kiriyama et al.[2017]		D4c2	Haplogrep2.0 Weissensteiner et al.[2016]	0.6961					[1]	[2]			
JP10631	631	7	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.8 (33762)			1628562	1866426	1747494	651.25	71.875								pre-N9a2a1	下顎骨 右第 3 大臼歯								pre-N9a2a1	Kanzawa-Kiriyama et al.[2017]		N9a2a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.9802			C1a1	C-M8	[1]	[2]			
JP10631	631	8	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.9 (27704)	男性	壮年後半	1669378	1893636	1781507	614	165	弥生中・後期					1920±16 (炭素14年代 (14C BP)), 較正年代(cal BC)1σ (68.2％) AD120-210, 2σ (95.4％) AD40-215		pre-D4b2b1d	側頭骨 右								pre-D4b2b1d	Kanzawa-Kiriyama et al.[2017]		D4b2b1	Haplogrep2.0 Weissensteiner et al.[2016]	0.9210			D1b		[1]	[2]	[3]		
JP10631	631	9	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.10 (27203)			1628562	1866426	1747494	651.25	71.875								M9a1a1（a?）	上顎骨 左第 3 大臼歯								M9a1a1(a?)	Kanzawa-Kiriyama et al.[2017]		M9a1a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.7817					[1]	[2]			
JP10631	631	10	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.12 (29617)			1628562	1866426	1747494	651.25	71.875								D4b2b1d	上顎骨 左第 2 大臼歯								D4b2b1d	Kanzawa-Kiriyama et al.[2017]		D4b2b	Haplogrep2.0 Weissensteiner et al.[2016]	0.9167					[1]	[2]			
JP10631	631	11	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.14 (27971-1)			1628562	1866426	1747494	651.25	71.875								（M7b1a?）	上顎骨 右第 2 大臼歯								(M7b1a?)	Kanzawa-Kiriyama et al.[2017]		H2a2a	Haplogrep2.0 Weissensteiner et al.[2016]	0.6063					[1]	[2]			
JP10631	631	12	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.15 (27893)	女性	壮年	1669378	1893636	1781507	614	165	弥生中・後期					1918±16(炭素14年代 (14C BP)), 較正年代(cal BC)1σ (68.2％) AD120-210, 2σ (95.4％) AD40-230		D4b2a2a1	側頭骨 左								D4b2a2a1	Kanzawa-Kiriyama et al.[2017]		D4b2a2a	Haplogrep2.0 Weissensteiner et al.[2016]	0.8782					[1]	[2]	[3]		
JP10631	631	13	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.19 (31008)	男性		1628562	1866426	1747494	651.25	71.875								M7b1a1a1*	上顎骨 右第 2 大臼歯								M7b1a1a1*	Kanzawa-Kiriyama et al.[2017]		M7b1a1a1	Haplogrep2.0 Weissensteiner et al.[2016]	1.0000			D (D1b?)		[1]	[2]			
JP10631	631	14	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.21 (26349)			1628562	1866426	1747494	651.25	71.875								D4c1b1	側頭骨 右								D4c1b1	Kanzawa-Kiriyama et al.[2017]		D4c1b1	Haplogrep2.0 Weissensteiner et al.[2016]	0.7935			O		[1]	[2]			
JP10631	631	15	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.22 (27999)			1628562	1866426	1747494	651.25	71.875								D4b2（a?）	側頭骨 左								D4b2(a?)	Kanzawa-Kiriyama et al.[2017]		D4b2	Haplogrep2.0 Weissensteiner et al.[2016]	0.6248					[1]	[2]			
JP10631	631	16	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.23 (27674)	女性(男性と書く文献もあり)	壮年	1666090	1891445	1778768	617	157.5	弥生中・後期					1935±18(炭素14年代 (14C BP)), 較正年代(cal BC)1σ (68.2％) AD105-210, 2σ (95.4％) AD25-210		pre-N9a2a1	側頭骨 右								pre-N9a2a1	Kanzawa-Kiriyama et al.[2017]		N9a2a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.7132					[1]	[2]	[3]		
JP10631	631	17	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.25 (26824)	男性		1628562	1866426	1747494	651.25	71.875								D4c1b2	側頭骨 右								D4c1b2	Kanzawa-Kiriyama et al.[2017]		D4c1b2	Haplogrep2.0 Weissensteiner et al.[2016]	1.0000			O1b2a1		[1]	[2]			
JP10631	631	18	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.26 (29942)			1628562	1866426	1747494	651.25	71.875								D4a2a	側頭骨 右								D4a2a	Kanzawa-Kiriyama et al.[2017]		M	Haplogrep2.0 Weissensteiner et al.[2016]	0.8957					[1]	[2]			
JP10631	631	19	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.27 (26209-2)			1628562	1866426	1747494	651.25	71.875									側頭骨 右								-	Kanzawa-Kiriyama et al.[2017]		HV	Haplogrep2.0 Weissensteiner et al.[2016]	0.7433					[1]	[2]			
JP10631	631	20	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.29 (27866-1)			1628562	1866426	1747494	651.25	71.875								M7b1a1a1*	側頭骨 右								M7b1a1a1*	Kanzawa-Kiriyama et al.[2017]		M7b1a1a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.8682					[1]	[2]			
JP10631	631	21	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.30 (32004)			1628562	1866426	1747494	651.25	71.875								（N9b）	側頭骨 右								(N9b)	Kanzawa-Kiriyama et al.[2017]		N9b	Haplogrep2.0 Weissensteiner et al.[2016]	0.7580					[1]	[2]			
JP10631	631	22	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.32 (26356-1)	男性		1628562	1866426	1747494	651.25	71.875								D4b2a2a1	下顎骨 右第 2 大臼歯								D4b2a2a1	Kanzawa-Kiriyama et al.[2017]		D4b2a2a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.9714			不明		[1]	[2]			
JP10631	631	23	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.33 (7437-7446)	女性	壮年	1509401	1786986	1648194	760	-200	弥生中・後期					2179±21(炭素14年代 (14C BP)), 較正年代(cal BC)1σ (68.2％) 345-55BC, 2σ (95.4％)  360-50BC		D4g1a	上顎骨 右第 1 大臼歯								D4g1a	Kanzawa-Kiriyama et al.[2017]		D4g1a	Haplogrep2.0 Weissensteiner et al.[2016]	0.9457					[1]	[2]	[3]		
JP10631	631	24	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		頭骨No.SX-1			1628562	1866426	1747494	651.25	71.875									側頭骨 右								-	Kanzawa-Kiriyama et al.[2017]		-	Haplogrep2.0 Weissensteiner et al.[2016]	-					[1]	[2]			
JP10631	631	25	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S1 (27163-1)			1628562	1866426	1747494	651.25	71.875								B4c1a1a1a	下顎骨 右第 3 大臼歯								B4c1a1a1a	Kanzawa-Kiriyama et al.[2017]		R	Haplogrep2.0 Weissensteiner et al.[2016]	0.6721					[1]	[2]			
JP10631	631	26	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S2 (27972)			1628562	1866426	1747494	651.25	71.875								M7b1a1a1?	下顎骨 右第 2 大臼歯								M7b1a1a1?	Kanzawa-Kiriyama et al.[2017]		M7b1a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.7730					[1]	[2]			
JP10631	631	27	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S3 (29250-1)			1628562	1866426	1747494	651.25	71.875								D4b2a2b	下顎骨 左第 3 大臼歯								D4b2a2b	Kanzawa-Kiriyama et al.[2017]		M	Haplogrep2.0 Weissensteiner et al.[2016]	0.9000					[1]	[2]			
JP10631	631	28	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S4 (29547)			1628562	1866426	1747494	651.25	71.875								C1a	下顎骨 左第 3 大臼歯								C1a	Kanzawa-Kiriyama et al.[2017]		C	Haplogrep2.0 Weissensteiner et al.[2016]	0.8697					[1]	[2]			
JP10631	631	29	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S5 (30558)			1628562	1866426	1747494	651.25	71.875								pre-D4b2b1d	下顎骨 左第 3 大臼歯								pre-D4b2b1d	Kanzawa-Kiriyama et al.[2017]		D4b2b1+146	Haplogrep2.0 Weissensteiner et al.[2016]	0.9908					[1]	[2]			
JP10631	631	30	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S6 (30723)			1628562	1866426	1747494	651.25	71.875								D4b2a2	下顎骨 右第 2 大臼歯								D4b2a2	Kanzawa-Kiriyama et al.[2017]		D4b2a2	Haplogrep2.0 Weissensteiner et al.[2016]	0.9835					[1]	[2]			
