key	language_en_us	language_ja_jp	language_zh_tw	language_zh_cn	language_ko_kr	language_es	language_pt	language_de	language_fr	language_it	language_tr	language_pl	language_el	language_nl	language_cs	language_uk	language_ru	language_id	language_fa	language_ar	language_null
> language																					
language	English	日本語	繁體中文	简体中文	한국어	Español	Português	Deutsch	Français	Italiano	Türkçe	Język polski	Ελληνικά	Nederlands	Čeština	Українська	Русский язык	Bahasa Indonesia	فارسی	اللغة العربية	
language_en	English	Japanese	Chinese	Chinese	Korean	Spanish	Portuguese	German	French	Italian	Turkish	Polish	Greek	Dutch	Czech	Ukrainian	Russian	Indonesian	Persian	Arabic	
language_ja	英語	日本語	繁体字中国語	簡体字中国語	韓国語	スペイン語	ポルトガル語	ドイツ語	フランス語	イタリア語	トルコ語	ポーランド語	ギリシャ語	オランダ語	チェコ語	ウクライナ語	ロシア語	インドネシア語	ペルシア語	アラビア語	
> font																					
font_path	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-sc/NotoSansSC-Regular.otf	Data/Font/noto-sans-sc/NotoSansSC-Regular.otf	Data/Font/noto-sans-kr/NotoSansKR-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans/NotoSans-Regular.ttf	Data/Font/noto-sans/NotoSans-Regular.ttf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans/NotoSans-Regular.ttf	Data/Font/noto-sans/NotoSans-Regular.ttf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf	Data/Font/noto-sans-ar/NotoNaskhArabic-VariableFont_wght.ttf	Data/Font/noto-sans-ar/NotoNaskhArabic-VariableFont_wght.ttf	Data/Font/noto-sans-jp/NotoSansJP-Regular.otf
> menu_bar_file																					
menu_bar_file	File(F)	ファイル(F)	文件(F)	文件(F)	파일(F)	Archivo(F)	Ficheiro(F)	Datei(F)	Fichier(F)	File(F)	Dosya(F)	Plik(F)	Αρχείο (F)	Bestand (F)	Soubor(F)	Файл(F)	Файл (F)	File (F)	فایل (F)	ملف (F)	File(F)
menu_bar_file_new	New	新規作成	新建	新建	새로 만들기	Nuevo	Novo	Neu	Nouveau	Nuovo	Yeni	Nowy	Νέο	Nieuw	Nový	Новий	Новый	Baru	جدید	جديد	New
menu_bar_file_open	Open	開く	打开	打开	열기	Abrir	Abrir	Öffnen	Ouvrir	Aprire	Açık	Otwórz	Άνοιγμα	Open	Otevřít	Відкрити	Открыть	Buka	باز کن	يفتح	Open
menu_bar_file_save	Save	保存	保存	保存	저장	Guardar	Guardar	Speichern	Sauvegarder	Salva	Kaydet	Zapisz	Αποθήκευση	Opslaan	Uložit	Зберегти	Сохранить	Simpan	صرفه جویی	يحفظ	Save
menu_bar_file_close	Close	閉じる	关闭	关闭	닫기	Cerrar	Fechar	Schließen	Fermer	Chiudere	Kapat	Zamknij	Close	Sluiten	Zavřít	Закрити	Закрыть	Tutup	بستن	يغلق	Close
menu_bar_file_exit	Exit	終了	退出	退出	종료	Salir	Sair	Beenden	Quitter	Esci	Çıkış	Wyjdź	Έξοδος	Exit	Ukončit	Вихід	Выход	Keluar	خروج	مخرج	Exit
> menu_bar_edit																					
menu_bar_edit	Edit(E)	編集(E)	编辑(E)	编辑(E)	편집(E)	Editar(E)	Editar(E)	Bearbeiten(E)	Modifier(E)	Modifica(E)	Düzenle(E)	Edytuj(E)	Επεξεργασία(E)	Bewerken(E)	Upravit(E)	Редагувати(E)	Редактировать (E)	Edit (E)	ویرایش (E)	تحرير (E)	Edit(E)
menu_bar_edit_cut	Cut	切り取り	剪切	剪切	잘라내기	Cortar	Cortar	Ausschneiden	Couper	Tagliare	Kesmek	Wytnij	Cut	Knippen	Střih	Вирізати	Вырезать	Memotong	برش	يقطع	Cut
menu_bar_edit_copy	Copy	コピー	复制	复制	복사	Copiar	Copiar	Kopieren	Copier	Copia	Kopya	Kopiuj	Αντιγραφή	Kopiëren	Kopírovat	Копіювати	Копировать	Menyalin	کپی	ينسخ	Copy
menu_bar_edit_paste	Paste	貼り付け	粘贴	粘贴	붙여넣기	Pegar	Colar	Einfügen	Coller	Incolla	Yapıştır	Wklej	Επικόλληση	Plakken	Vložit	Вставити	Вставить	Menempel	چسباندن	معجون	Paste
menu_bar_edit_delete	Delete	削除	删除	删除	삭제	Borrar	Apagar	Löschen	Supprimer	Cancellare	Silme	Usuń	Διαγραφή	Verwijderen	Odstranit	Видалити	Удалить	Menghapus	حذف	حذف	Delete
> menu_bar_view																					
menu_bar_view	View(V)	表示(V)	显示(V)	显示(V)	표시(V)	Ver(V)	Ver(V)	Ansicht(V)	Vue(V)	Vista(V)	Görünüm (V)	Widok(V)	Προβολή(V)	Weergave(V)	Zobrazit(V)	Перегляд(V)	Вид (V)	Melihat (V)	مشاهده (V)	مشاهدة (V)	View(V)
menu_bar_view_calendar	Calendar	カレンダー	日历	日历	달력	Calendario	Calendário	Kalender	Calendrier	Calendario	Takvim	Kalendarz	Ημερολόγιο	Kalender	Kalendář	Календар	Календарь	Kalender	تقویم	تقويم	Calendar
menu_bar_view_map	Map	地図	地图	地图	지도	Mapa	Mapa	Karte	Carte	Mappa	Harita	Mapa	Χάρτης	Kaart	Mapa	Карта	Карта	Peta	نقشه	خريطة	Map
menu_bar_view_ui	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI	UI
menu_bar_view_simulation	Simulation	シミュレーション	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation	Simulation
menu_bar_view_license	License	ライセンス	许可	许可	라이선스	Licencia	Licença	Lizenz	Licence	Licenza	Lisans	Licencja	Άδεια	Licentie	Licence	Ліцензія	Лицензия	Lisensi	مجوز	رخصة	License
menu_bar_view_debug	Debug	デバッグ	调试	调试	디버깅	Depurar	Depurar	Debuggen	Débogage	Debug	Hata Ayıklama	Debugowanie	Αποσφαλμάτωση	Debug	Ladění	Налагодження	Отладка	Debug	اشکال زدایی	Debug	Debug
menu_bar_view_3d	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	3D	سه بعدی	ثلاثي الأبعاد	3D
> menu_bar_calendar																					
menu_bar_calendar	Calendar(C)	カレンダー(C)	日曆(C)	日历(C)	캘린더(C)	Calendario(C)	Calendário(C)	Kalender(C)	Calendrier(C)	Calendario(C)	Takvim (C)	Kalendarz(C)	Ημερολόγιο(C)	Kalender (C)	Kalendář(C)	Календар(C)	Календарь (C)	Kalender (C)	تقویم (C)	التقويم (C)	Calendar(C)
menu_bar_calendar_japan	Japanese Calendar	和暦	日本曆	日本历	일본 달력	Calendario japonés	Calendário Japonês	Japanischer Kalender	Calendrier japonais	Calendario giapponese	Japon Takvimi	Kalendarz japoński	Ιαπωνικό ημερολόγιο	Japanse kalender	Japonský kalendář	Японський календар	Японский календарь	Kalender Jepang	تقویم ژاپنی	التقويم الياباني	Japanese Calendar
menu_bar_calendar_gregorian	Gregorian Calendar	グレゴリオ暦	公曆	公历	그레고리력	Calendario gregoriano	Calendário Gregoriano	Gregorianischer Kalender	Calendrier grégorien	Calendario gregoriano	Miladi Takvim	Kalendarz gregoriański	Γρηγοριανό ημερολόγιο	Gregoriaanse kalender	Gregoriánský kalendář	Григоріанський календар	Григорианский календарь	Kalender Gregorian	تقویم میلادی	التقويم الميلادي	Gregorian Calendar
menu_bar_calendar_julian	Julian Calendar	ユリウス暦	儒略曆	儒略历	율리우스력	Calendario juliano	Calendário Juliano	Julianischer Kalender	Calendrier julien	Calendario giuliano	Jülyen Takvimi	Kalendarz juliański	Ιουλιανό ημερολόγιο	Juliaanse kalender	Juliánský kalendář	Юліанський календар	Юлианский календарь	Kalender Julian	تقویم جولیان	تقويم جوليان	Julian Calendar
menu_bar_calendar_julian_day	Julian day	ユリウス通日	儒略日	儒略日	율리우스일	Día juliano	Dia Juliano	Julianischer Tag	Jour julien	Giorno giuliano	Julian günü	Dzień juliański	Ιουλιανή ημέρα	Juliaanse dag	Juliánský den	Юліанський день	Юлианский день	Hari Julian	روز جولیان	يوم جوليان	Julian day
menu_bar_calendar_hijri	Hijri Calendar	ヒジュラ暦	伊斯兰曆	伊斯兰历	이슬람력	Calendario hijri	Calendário Hijri	Hijri Kalender	Calendrier hijri	Calendario hijri	Hijri Takvimi	Kalendarz hijri	Hijri ημερολόγιο	Hijri kalender	Hijri kalendář	Hijri календар	Hijri календарь	Kalender Hijri	تقویم اسلامی	تقويم هجري	Hijri Calendar
> menu_bar_map																					
menu_bar_map	Map(M)	地図(M)	地図(M)	地図(M)	지도(M)	Mapa(M)	Mapa(M)	Karte(M)	Carte(M)	Mappa(M)	Harita(M)	Mapa(M)	Χάρτης(M)	Kaart (M)	Mapa(M)	Карта(M)	Карта (M)	Peta (M)	نقشه (M)	خريطة (M)	Map(M)
menu_bar_map_base	Base	通常	通常	通常	보통	Base	Base	Basis	Base	Base	Üs	Baza	Βάση	Basis	Základna	База	База	Pangkalan	پایه	قاعدة	Base
menu_bar_map_land_and_sea	Land and Sea	陸海	陸海	陸海	육해	Tierra y Mar	Terra e Mar	Land und Meer	Terre et mer	Terra e mare	Kara ve Deniz	Ląd i morze	Γη και θάλασσα	Land en Zee	Země a moře	Суша і море	Земля и море	Daratan dan Laut	خشکی و دریا	الأرض والبحر	Land and Sea
menu_bar_map_land_and_water	Land and Water	陸水	陸水	陸水	육수	Tierra y Agua	Terra e água	Land und Wasser	Terre et eau	Terra e acqua	Kara ve Su	Ląd i woda	Γη και Νερό	Land en Water	Země a voda	Суша і вода	Земля и вода	Tanah dan Air	زمین و آب	الأرض والمياه	Land and Water
menu_bar_map_soil	Soil	土壌	土壌	土壌	토양	Suelo	Solo	Boden	Sol	Suolo	Toprak	Gleba	Έδαφος	Bodem	Půda	Ґрунт	Почва	Tanah	خاک	تربة	Soil
