key	en-US	ja-JP	language_zh_tw	language_zh_cn	language_ko_kr	language_es	language_pt	language_de	language_fr	language_it	language_tr	language_pl	language_el	language_nl	language_cs	language_uk	language_ru	language_id	language_fa	language_ar	language_null
gengo_0	Before Jimmu	神武天皇即位前	神武天皇即位前	神武天皇即位前	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu
gengo_1	Emperor Jimmu	神武天皇	神武天皇	神武天皇	황제 Jimmu	Emperador Jimmu	Imperador Jimmu	Kaiser Jimmu	Empereur Jimmu	Imperatore Jimmu	İmparator Jimmu	Imperator Jimmu	Αυτοκράτορας Jimmu	Keizer Jimmu	Císař Jimmu	Імператор Jimmu	Император Jimmu	Kaisar Jimmu	Emperor Jimmu	Emperor Jimmu	Emperor Jimmu
gengo_2	Emperor Suizei	綏靖天皇	綏靖天皇	綏靖天皇	황제 Suizei	Emperador Suizei	Imperador Suizei	Kaiser Suizei	Empereur Suizei	Imperatore Suizei	İmparator Suizei	Imperator Suizei	Αυτοκράτορας Suizei	Keizer Suizei	Císař Suizei	Імператор Suizei	Император Suizei	Kaisar Suizei	Emperor Suizei	Emperor Suizei	Emperor Suizei
gengo_3	Emperor Annei	安寧天皇	安寧天皇	安寧天皇	황제 Annei	Emperador Annei	Imperador Annei	Kaiser Annei	Empereur Annei	Imperatore Annei	İmparator Annei	Imperator Annei	Αυτοκράτορας Annei	Keizer Annei	Císař Annei	Імператор Annei	Император Annei	Kaisar Annei	Emperor Annei	Emperor Annei	Emperor Annei
gengo_4	Emperor Itoku	懿徳天皇	懿德天皇	懿德天皇	황제 Itoku	Emperador Itoku	Imperador Itoku	Kaiser Itoku	Empereur Itoku	Imperatore Itoku	İmparator Itoku	Imperator Itoku	Αυτοκράτορας Itoku	Keizer Itoku	Císař Itoku	Імператор Itoku	Император Itoku	Kaisar Itoku	Emperor Itoku	Emperor Itoku	Emperor Itoku
gengo_5	Emperor Kōshō	孝昭天皇	孝昭天皇	孝昭天皇	황제 Kōshō	Emperador Kōshō	Imperador Kōshō	Kaiser Kōshō	Empereur Kōshō	Imperatore Kōshō	İmparator Kōshō	Imperator Kōshō	Αυτοκράτορας Kōshō	Keizer Kōshō	Císař Kōshō	Імператор Kōshō	Император Kōshō	Kaisar Kōshō	Emperor Kōshō	Emperor Kōshō	Emperor Kōshō
gengo_6	Emperor Kōan	孝安天皇	孝安天皇	孝安天皇	황제 Kōan	Emperador Kōan	Imperador Kōan	Kaiser Kōan	Empereur Kōan	Imperatore Kōan	İmparator Kōan	Imperator Kōan	Αυτοκράτορας Kōan	Keizer Kōan	Císař Kōan	Імператор Kōan	Император Kōan	Kaisar Kōan	Emperor Kōan	Emperor Kōan	Emperor Kōan
gengo_7	Emperor Kōrei	孝霊天皇	孝靈天皇	孝靈天皇	황제 Kōrei	Emperador Kōrei	Imperador Kōrei	Kaiser Kōrei	Empereur Kōrei	Imperatore Kōrei	İmparator Kōrei	Imperator Kōrei	Αυτοκράτορας Kōrei	Keizer Kōrei	Císař Kōrei	Імператор Kōrei	Император Kōrei	Kaisar Kōrei	Emperor Kōrei	Emperor Kōrei	Emperor Kōrei
gengo_8	Emperor Kōgen	孝元天皇	孝元天皇	孝元天皇	황제 Kōgen	Emperador Kōgen	Imperador Kōgen	Kaiser Kōgen	Empereur Kōgen	Imperatore Kōgen	İmparator Kōgen	Imperator Kōgen	Αυτοκράτορας Kōgen	Keizer Kōgen	Císař Kōgen	Імператор Kōgen	Император Kōgen	Kaisar Kōgen	Emperor Kōgen	Emperor Kōgen	Emperor Kōgen
gengo_9	Emperor Kaika	開化天皇	開化天皇	開化天皇	황제 Kaika	Emperador Kaika	Imperador Kaika	Kaiser Kaika	Empereur Kaika	Imperatore Kaika	İmparator Kaika	Imperator Kaika	Αυτοκράτορας Kaika	Keizer Kaika	Císař Kaika	Імператор Kaika	Император Kaika	Kaisar Kaika	Emperor Kaika	Emperor Kaika	Emperor Kaika
gengo_10	Emperor Sujin	崇神天皇	崇神天皇	崇神天皇	황제 Sujin	Emperador Sujin	Imperador Sujin	Kaiser Sujin	Empereur Sujin	Imperatore Sujin	İmparator Sujin	Imperator Sujin	Αυτοκράτορας Sujin	Keizer Sujin	Císař Sujin	Імператор Sujin	Император Sujin	Kaisar Sujin	Emperor Sujin	Emperor Sujin	Emperor Sujin
gengo_11	Emperor Suinin	垂仁天皇	垂仁天皇	垂仁天皇	황제 Suinin	Emperador Suinin	Imperador Suinin	Kaiser Suinin	Empereur Suinin	Imperatore Suinin	İmparator Suinin	Imperator Suinin	Αυτοκράτορας Suinin	Keizer Suinin	Císař Suinin	Імператор Suinin	Император Suinin	Kaisar Suinin	Emperor Suinin	Emperor Suinin	Emperor Suinin
gengo_12	Emperor Keikō	景行天皇	景行天皇	景行天皇	황제 Keikō	Emperador Keikō	Imperador Keikō	Kaiser Keikō	Empereur Keikō	Imperatore Keikō	İmparator Keikō	Imperator Keikō	Αυτοκράτορας Keikō	Keizer Keikō	Císař Keikō	Імператор Keikō	Император Keikō	Kaisar Keikō	Emperor Keikō	Emperor Keikō	Emperor Keikō
gengo_13	Emperor Seimu	成務天皇	成務天皇	成務天皇	황제 Seimu	Emperador Seimu	Imperador Seimu	Kaiser Seimu	Empereur Seimu	Imperatore Seimu	İmparator Seimu	Imperator Seimu	Αυτοκράτορας Seimu	Keizer Seimu	Císař Seimu	Імператор Seimu	Император Seimu	Kaisar Seimu	Emperor Seimu	Emperor Seimu	Emperor Seimu
gengo_14	Emperor Chūai	仲哀天皇	仲哀天皇	仲哀天皇	황제 Chūai	Emperador Chūai	Imperador Chūai	Kaiser Chūai	Empereur Chūai	Imperatore Chūai	İmparator Chūai	Imperator Chūai	Αυτοκράτορας Chūai	Keizer Chūai	Císař Chūai	Імператор Chūai	Император Chūai	Kaisar Chūai	Emperor Chūai	Emperor Chūai	Emperor Chūai
gengo_15	Empress Jingū	神功皇后	神功皇后	神功皇后	황후 Jingū	Emperatriz Jingū	Imperatriz Jingū	Kaiserin Jingū	Impératrice Jingū	Imperatrice Jingū	İmparatoriçe Jingū	Cesarzowa Jingū	Αυτοκράτειρα Jingū	Keizerin Jingū	Císařovna Jingū	Імператриця Jingū	Императрица Jingū	Permaisuri Jingū	Empress Jingū	Empress Jingū	Empress Jingū
